Date,NIFTY,BANKNIFTY,3IINFOTECH,ABAN,ABB,ABGSHIP,ABIRLANUVO,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,AIAENG,AIL,AJANTPHARM,ALBK,ALOKTEXT,AMARAJABAT,AMBUJACEM,AMTEKAUTO,ANDHRABANK,ANSALAPI,APOLLOHOSP,APOLLOTYRE,APTECHT,ARVIND,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJHIND,BAJAJHLDNG,BAJFINANCE,BALAJITELE,BALLARPUR,BALRAMCHIN,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BEML,BGRENERGY,BHARATFORG,BHARTIARTL,BHEL,BHUSANSTL,BINDALAGRO,BIOCON,BIRLACORPN,BOMDYEING,BOSCHLTD,BPCL,BRFL,BRIGADE,BRITANNIA,CAIRN,CANBK,CASTROLIND,CEATLTD,CENTRALBK,CENTURYTEX,CESC,CHAMBLFERT,CHENNPETRO,CHOLAFIN,CIPLA,CMC,COALINDIA,COLPAL,CONCOR,COREEDUTEC,CORPBANK,CROMPGREAV,CUMMINSIND,DABUR,DCBBANK,DCHL,DEN,DENABANK,DHANBANK,DHFL,DISHTV,DIVISLAB,DLF,DRREDDY,EDELWEISS,EDUCOMP,EICHERMOT,EKC,ENGINERSIN,ESCORTS,ESSAROIL,EXIDEIND,FEDERALBNK,FINANTECH,FORTIS,FRL,FSL,GAIL,GAYAPROJ,GDL,GESHIP,GITANJALI,GLAXO,GLENMARK,GMRINFRA,GNFC,GODREJIND,GODREJPROP,GPPL,GRASIM,GSKCONS,GSPL,GTL,GTLINFRA,GTOFFSHORE,GUJALKALI,GUJFLUORO,GVKPIL,HAVELLS,HCC,HCL-INSYS,HCLTECH,HDFC,HDFCBANK,HDIL,HEROMOTOCO,HEXAWARE,HGS,HINDALCO,HINDOILEXP,HINDPETRO,HINDUJAFO,HINDUJAVEN,HINDUNILVR,HINDZINC,HOTELEELA,HUBTOWN,IBREALEST,IBULHSGFIN,ICICIBANK,ICSA,IDBI,IDEA,IDFC,IFCI,IGL,IIFL,INDHOTEL,INDIACEM,INDIANB,INDUSINDBK,INFY,INGVYSYABK,IOB,IOC,IRB,ITC,IVRCLAH,IVRCLINFRA,J&KBANK,JETAIRWAYS,JINDALSAW,JINDALSTEL,JISLJALEQS,JPASSOCIAT,JPPOWER,JSL,JSWENERGY,JSWISPAT,JSWSTEEL,JUBLFOOD,JUSTDIAL,KESORAMIND,KFA,KOTAKBANK,KPIT,KSCL,KSK,KSOILS,KTKBANK,L&TFH,LAXMIMACH,LICHSGFIN,LITL,LT,LUPIN,M&M,M&MFIN,MAHLIFE,MAHSEAMLES,MARUTI,MCDOWELL-N,MCLEODRUSS,MERCATOR,MHRIL,MIC,MINDTREE,MONNETISPA,MOSERBAER,MOTHERSUMI,MPHASIS,MRF,MRPL,MTNL,MUTHOOTFIN,MYSOREBANK,NAGARFERT,NATIONALUM,NAUKRI,NBVENTURES,NCC,NDTV,NETWORK18,NEYVELILIG,NHPC,NIITLTD,NIITTECH,NMDC,NOIDATOLL,NTPC,NUCLEUS,OFSS,OIL,OMAXE,ONGC,OPTOCIRCUI,ORBITCORP,ORCHIDCHEM,ORIENTBANK,PAGEIND,PARSVNATH,PATELENG,PATNI,PEL,PENINLAND,PETRONET,PFC,PIDILITIND,PIIND,PNB,POLARIS,POWERGRID,PRAJIND,PRESTIGE,PRISMCEM,PTC,PUNJLLOYD,PURVA,RAJESHEXPO,RANBAXY,RAYMOND,RCOM,RECLTD,REDINGTON,RELCAPITAL,RELIANCE,RELINFRA,RELMEDIA,RENUKA,RIIL,RNRL,ROLTA,RPOWER,RUCHISOYA,SAIL,SASKEN,SATYAMCOMP,SBIN,SCI,SHREECEM,SIEMENS,SINTEX,SITICABLE,SKSMICRO,SKUMARSYNF,SOBHA,SOUTHBANK,SREINFRA,SRF,SRTRANSFIN,STAR,STER,STERLINBIO,STRTECH,SUNCLAYLTD,SUNPHARMA,SUNTV,SUZLON,SYNDIBANK,TALWALKARS,TATACHEM,TATACOMM,TATAGLOBAL,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,THOMASCOOK,TIMKEN,TITAN,TORNTPOWER,TRENT,TRIVENI,TTML,TULIP,TV18BRDCST,TVSMOTOR,UBL,UCOBANK,ULTRACEMCO,UNIONBANK,UNITECH,UPL,UTTAMSTL,UTVSOF,VEDL,VIDEOIND,VIJAYABANK,VOLTAMP,VOLTAS,WALCHANNAG,WELCORP,WIPRO,WOCKPHARMA,YESBANK,ZEEL,CADILAHC,INFRATEL,MARICO,GODREJCP,GRANULES,PCJEWELLER,TATAELXSI,ICIL,TORNTPHARM,CGPOWER,CAPF,EQUITAS,INDIGO,INFIBEAM,MFSL,IDFCBANK,PVR,RDEL,UJJIVAN,DALMIABHA,BHARATFIN,SESAGOA,SSLT
17/01/2006,0,0,4,0,8,0,0,13,0,0,0,0,0,0,0,5,0,13,0,4,0,0,0,0,3,12,9,3,11,0,3,12,0,1,4,2,7,6,0,4,0,0,9,13,12,0,0,0,0,0,0,6,2,0,5,0,8,0,0,0,0,5,0,7,0,13,0,0,7,3,0,6,4,0,6,0,0,0,0,0,0,0,3,0,8,0,0,0,2,0,0,0,1,2,0,0,3,0,6,0,0,0,0,9,2,0,0,0,0,0,11,5,0,0,0,0,0,0,0,1,6,5,10,8,7,0,5,5,0,14,0,4,0,0,5,7,0,0,0,0,15,0,0,0,7,0,10,0,3,5,0,2,20,0,5,7,0,12,0,6,0,0,0,6,0,7,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,11,12,13,0,0,0,13,0,0,1,0,0,0,0,0,0,10,0,0,4,0,0,0,10,0,0,6,2,0,0,0,0,5,0,0,10,0,9,0,0,15,0,0,2,9,0,0,1,10,4,0,5,0,0,0,13,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,13,4,2,2,0,0,1,0,0,3,2,19,15,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,0,10,0,5,0,0,0,5,9,17,0,8,12,16,0,4,0,0,1,0,0,0,0,0,0,5,0,0,7,11,0,0,0,0,5,0,5,0,3,0,0,11,10,5,5,6,0,3,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,5
18/01/2006,0,0,4,0,8,0,0,13,0,0,0,0,0,0,0,5,0,13,0,4,0,0,0,0,3,12,9,3,11,0,3,12,0,1,4,2,7,6,0,4,0,0,9,13,12,0,0,3,0,0,0,6,2,0,5,0,8,0,0,0,0,5,0,7,0,13,0,0,7,3,0,6,4,0,6,0,1,0,0,0,0,0,3,0,8,0,0,0,2,0,0,0,1,2,0,0,3,0,6,0,0,0,0,9,2,0,0,0,0,0,11,5,0,0,0,0,0,0,0,1,6,5,9,8,7,0,5,5,0,14,0,4,0,0,5,8,0,0,0,0,15,0,0,0,7,0,10,0,3,5,0,2,20,0,5,7,0,12,0,6,0,0,0,6,0,7,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,11,12,13,0,0,0,13,0,0,1,0,0,0,0,0,0,10,0,0,4,0,0,0,10,0,0,6,3,0,0,0,0,5,0,0,10,0,9,0,0,15,0,0,2,9,0,0,1,10,4,0,5,0,0,0,13,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,13,5,2,2,0,0,1,0,0,3,2,19,15,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,0,10,0,5,4,0,0,5,9,17,0,8,12,16,0,4,0,0,1,0,2,0,0,0,0,5,0,0,7,11,0,0,0,0,5,0,5,0,3,0,0,12,10,5,5,6,0,3,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,5
19/01/2006,0,0,4,0,8,0,0,13,0,0,0,0,0,0,0,5,0,13,0,4,0,0,0,0,3,12,9,3,11,0,3,12,0,1,4,2,7,6,0,4,0,0,9,13,12,0,0,3,0,0,0,6,2,0,5,0,8,0,0,0,0,5,0,7,0,13,0,0,7,4,0,6,4,0,6,0,1,0,0,0,0,0,3,0,8,0,0,0,2,0,0,0,1,2,0,0,3,0,6,0,0,0,0,9,2,0,0,0,0,0,11,5,0,0,0,0,0,0,0,1,6,5,10,7,7,0,5,5,0,13,0,4,0,0,5,8,0,0,0,0,15,0,0,0,7,0,10,0,3,5,0,2,20,0,5,7,0,12,0,6,0,5,0,6,0,7,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,11,12,13,0,0,0,13,0,0,1,0,0,0,0,0,0,10,0,0,4,0,0,0,10,0,0,6,3,0,0,0,1,5,0,0,10,0,9,0,0,15,0,0,2,9,0,0,1,10,3,0,5,0,0,0,13,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,13,4,2,2,0,0,1,0,0,3,2,19,15,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,0,10,0,5,4,0,0,5,9,17,0,8,12,16,0,4,0,0,1,0,2,0,0,0,0,5,0,0,7,11,0,0,0,0,5,0,5,0,3,0,0,14,10,5,5,6,0,3,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,5
20/01/2006,0,0,4,0,8,0,0,13,0,0,0,0,0,0,0,5,0,13,0,4,0,0,0,0,3,12,9,3,11,0,3,13,0,1,4,2,7,7,0,4,0,0,9,13,12,0,0,3,0,0,0,6,2,0,5,0,8,0,0,0,0,5,0,7,0,13,0,0,7,4,0,6,4,0,6,0,1,0,0,0,0,0,3,0,8,0,0,0,2,0,0,0,1,2,0,0,3,0,6,0,0,0,0,9,2,0,0,0,0,0,11,5,0,0,0,0,0,0,0,1,6,5,10,7,7,0,5,5,0,13,0,4,0,0,5,8,0,0,0,0,15,0,0,0,7,0,10,0,3,5,0,2,20,0,5,7,0,12,0,6,0,5,0,6,2,7,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,11,12,13,0,0,4,12,0,0,1,0,0,0,0,0,0,10,0,0,4,0,0,0,10,0,0,6,3,0,0,0,1,5,0,0,10,0,9,0,0,15,0,0,2,9,0,0,1,10,3,0,5,0,0,0,13,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,13,4,2,2,0,0,1,0,0,3,2,18,15,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,0,10,0,5,4,0,0,5,9,17,0,8,12,16,0,4,0,0,1,0,2,0,0,0,0,5,0,0,7,11,0,0,0,0,5,0,5,0,3,0,0,14,10,5,5,6,0,3,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,5
23/01/2006,0,0,4,0,8,0,0,13,0,0,0,0,0,0,0,5,0,13,0,4,0,0,0,0,3,12,9,3,11,0,3,13,0,1,4,2,7,7,0,4,1,0,9,13,12,0,0,3,0,0,0,6,2,0,5,0,8,0,0,0,0,5,0,6,0,13,0,0,7,4,0,6,4,0,6,0,1,0,3,0,0,0,3,0,8,0,0,0,2,0,0,0,1,2,0,0,3,0,6,0,0,0,0,9,2,0,0,0,0,0,11,5,0,0,0,0,3,0,0,1,6,5,10,7,7,0,5,5,0,13,0,4,0,0,5,8,0,0,0,0,15,0,0,0,7,0,10,0,3,5,0,2,20,0,5,6,0,12,0,6,2,5,0,6,2,7,0,0,0,0,3,0,0,2,0,0,4,0,0,0,0,0,0,0,0,10,12,13,0,0,4,15,0,0,1,0,0,0,0,1,0,10,0,0,4,0,0,0,10,0,0,6,3,0,0,0,1,5,0,0,10,0,9,0,0,14,0,0,2,9,0,0,1,11,3,0,5,0,1,0,13,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,13,4,2,2,0,0,1,0,0,3,2,18,15,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,0,10,0,5,4,0,0,5,9,17,0,8,12,16,0,4,0,0,1,0,2,0,0,0,0,5,0,0,7,11,0,0,0,0,5,0,5,0,3,0,0,14,10,5,5,6,0,3,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,5
24/01/2006,0,0,4,0,8,0,0,14,0,0,0,0,0,0,0,5,0,13,0,4,0,0,0,0,3,12,9,3,11,0,3,13,0,1,4,2,7,7,0,4,1,0,9,13,12,0,0,3,0,0,0,6,2,0,5,0,8,0,0,0,0,5,0,6,0,14,0,0,7,4,0,6,4,0,6,0,1,0,3,0,0,0,3,0,8,0,0,0,2,0,0,0,1,2,0,0,3,0,6,0,0,0,0,9,2,0,0,0,0,0,11,5,0,0,0,0,3,0,0,1,6,5,10,7,7,0,5,5,0,13,0,4,0,0,5,8,0,0,0,0,15,0,0,0,7,0,10,0,2,5,0,2,20,0,5,6,0,12,0,6,3,4,0,6,2,7,0,0,0,0,3,0,0,2,0,0,4,0,0,0,0,0,0,0,0,10,12,13,0,0,4,15,0,0,1,0,0,0,0,1,0,10,0,0,4,0,0,0,10,0,0,6,3,0,0,0,1,5,0,0,10,0,9,0,0,14,0,0,2,9,0,0,1,11,3,0,5,0,1,0,13,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,13,4,2,2,0,0,1,0,0,3,2,18,15,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,0,10,0,5,4,0,0,5,9,17,0,7,12,16,0,4,0,0,1,0,2,0,0,0,0,5,0,0,6,11,0,0,0,0,5,0,5,0,3,0,0,14,10,5,5,6,0,3,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,5
25/01/2006,0,0,4,0,9,0,0,12,0,0,0,0,0,0,5,5,0,13,0,4,0,0,0,0,3,12,8,3,11,0,3,13,0,1,4,2,7,6,0,4,1,0,9,12,12,0,0,3,0,0,0,6,2,0,5,0,8,0,0,0,0,5,0,6,0,13,0,0,7,4,0,6,4,0,6,0,1,0,4,0,0,0,3,0,9,0,0,0,2,0,0,0,1,2,0,0,3,0,6,0,0,0,0,9,2,0,0,0,0,0,11,5,0,0,0,0,3,0,0,1,6,5,10,7,7,0,5,5,0,13,0,4,0,0,5,8,0,0,0,0,15,0,0,0,7,0,10,0,2,4,0,2,20,0,5,6,0,12,0,6,3,3,0,6,2,7,0,0,0,0,3,0,0,2,0,0,4,0,0,0,0,0,0,0,0,10,12,13,0,0,4,15,0,0,1,0,0,0,0,1,0,10,0,0,4,0,0,0,10,0,0,6,3,0,0,0,1,5,0,0,10,0,9,0,0,14,0,0,2,9,0,0,1,11,3,0,4,0,1,0,13,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,4,2,2,0,0,1,0,0,3,2,18,15,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,0,10,0,5,4,0,3,5,9,17,0,7,12,16,0,4,0,0,1,0,2,0,0,0,0,5,0,0,6,12,0,0,0,0,5,0,5,0,3,0,0,14,10,5,5,6,0,3,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,5
27/01/2006,0,0,4,0,9,0,0,11,0,0,0,0,0,0,5,5,0,13,0,4,0,0,0,0,3,12,8,3,11,0,3,13,0,1,4,2,7,6,0,3,1,0,9,12,12,0,0,3,0,0,0,6,2,0,5,0,8,0,0,0,0,5,0,6,0,14,0,0,7,4,0,6,4,0,6,0,1,0,4,0,0,0,3,0,9,0,0,0,2,0,0,0,1,2,0,0,3,0,6,0,0,0,0,9,2,0,0,0,0,0,11,5,0,0,0,0,3,0,0,2,6,5,10,7,7,0,5,5,0,13,0,4,0,0,5,8,0,0,0,0,15,0,0,0,7,0,10,0,2,4,0,2,20,0,5,7,0,12,0,6,3,3,0,6,2,7,0,0,0,0,3,0,0,2,0,0,4,0,0,0,0,0,0,0,0,10,12,13,0,0,5,14,0,0,1,0,0,0,0,1,0,10,0,0,4,0,0,0,10,0,0,6,3,0,0,0,1,5,0,0,10,0,9,0,0,14,0,0,2,9,0,0,1,11,3,0,4,0,1,0,13,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,4,2,2,0,0,1,0,0,3,2,18,16,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,3,10,0,5,4,0,3,5,9,17,0,7,12,16,0,4,0,0,1,0,2,0,0,0,0,5,0,0,6,12,0,0,0,0,5,0,5,0,3,0,0,14,10,5,5,6,0,3,7,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,5,5
30/01/2006,0,0,4,0,9,0,0,11,0,0,0,0,0,0,5,5,0,12,0,4,0,0,0,0,4,12,8,3,11,0,3,13,0,1,4,2,7,6,0,3,1,0,9,12,12,0,0,3,0,0,0,6,2,0,5,0,8,0,0,0,0,5,0,6,0,15,0,0,7,4,0,6,5,0,6,0,1,0,4,0,0,0,3,0,9,0,0,0,2,0,0,0,1,2,0,0,3,0,6,0,0,0,0,9,2,0,0,0,0,0,11,5,0,0,0,0,3,0,0,2,6,5,10,7,7,0,5,5,0,13,0,4,0,0,5,8,0,0,0,0,15,0,0,0,7,0,10,0,2,4,0,2,20,0,5,7,0,12,0,6,3,3,0,6,2,7,0,0,0,0,3,0,0,2,0,0,4,0,0,0,3,0,1,2,0,10,11,13,0,0,5,14,0,0,1,0,0,0,1,1,0,10,0,0,4,0,0,0,10,0,0,6,3,0,0,0,1,5,0,0,10,0,9,0,0,14,0,0,2,9,0,0,1,11,3,0,4,0,1,0,14,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,4,2,2,0,0,1,0,1,2,2,18,17,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,3,10,0,5,4,0,3,4,9,17,0,7,12,16,0,4,0,0,1,0,2,0,0,0,0,5,0,0,6,11,0,0,0,0,5,0,4,0,3,0,0,14,10,5,5,7,0,4,7,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,5,5
31/01/2006,0,0,4,0,9,0,0,11,0,0,0,0,0,0,5,5,0,10,0,4,0,1,0,0,4,12,7,3,11,0,3,13,0,1,4,2,7,6,0,3,1,0,9,12,13,0,0,3,1,0,0,6,2,0,4,0,8,0,0,0,0,5,0,6,0,15,0,0,6,4,0,7,5,3,5,0,1,0,4,0,0,0,3,0,9,0,0,0,2,0,0,0,1,2,0,0,3,0,6,0,0,4,0,9,2,0,0,0,0,0,11,4,0,0,0,0,3,0,0,2,6,5,10,7,7,0,4,5,0,13,0,4,0,0,5,8,2,0,0,0,15,0,1,0,7,0,10,0,2,4,0,2,20,0,5,7,0,11,0,6,3,3,0,6,2,7,0,0,0,0,3,0,0,2,0,0,4,0,0,0,3,0,1,2,0,10,11,13,0,0,5,14,0,0,1,0,0,0,1,1,0,10,0,0,4,0,0,0,11,0,0,6,3,0,0,0,1,5,0,0,10,0,8,0,0,15,0,0,2,9,0,0,1,11,3,0,4,0,0,0,14,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,4,2,2,0,0,1,0,1,2,2,18,17,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,3,10,0,4,4,0,3,4,8,17,0,7,12,16,0,4,0,0,1,0,2,0,0,0,0,5,0,0,6,11,0,5,0,0,5,0,4,0,3,0,0,14,10,5,4,7,0,4,7,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,5,5
01/02/2006,0,0,4,0,9,0,3,11,0,0,0,2,0,0,5,5,0,10,0,4,0,1,0,0,4,12,7,3,11,0,3,13,0,1,4,2,7,6,0,3,1,0,9,13,13,0,0,3,1,0,0,6,2,0,4,0,9,0,0,0,0,5,0,6,0,15,0,0,7,4,0,7,5,3,5,0,1,0,4,0,0,0,3,0,9,0,0,0,2,0,0,0,1,2,0,0,3,0,6,0,1,4,0,9,2,0,0,0,0,0,11,4,0,0,0,0,3,0,0,2,6,5,10,7,7,0,4,5,0,13,0,4,0,0,5,8,2,0,0,0,15,0,1,0,7,0,10,0,2,4,0,2,20,0,5,7,0,11,0,6,3,3,2,6,2,7,0,0,0,0,3,0,0,2,0,0,4,0,0,0,3,0,1,2,0,10,11,13,0,0,5,14,0,0,1,0,0,0,1,1,0,10,0,0,4,0,0,0,11,0,0,6,3,0,0,0,1,5,0,0,10,0,8,0,0,15,0,0,2,9,0,0,1,11,3,0,4,0,0,0,14,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,4,2,2,0,0,1,0,1,2,2,18,17,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,3,10,0,5,4,0,3,4,8,17,0,7,12,16,0,4,0,0,1,0,2,0,0,0,0,4,0,0,6,11,0,5,0,0,5,0,4,0,3,0,0,14,10,5,4,7,0,4,7,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,5,5
02/02/2006,0,0,4,0,9,0,3,12,0,0,0,2,0,0,5,5,0,10,0,4,0,1,0,0,4,13,7,3,11,0,3,13,0,1,4,2,7,6,0,3,1,0,10,13,13,0,0,3,1,0,0,6,2,0,4,0,9,0,0,0,0,5,0,6,0,15,0,0,7,4,0,7,5,3,5,0,1,0,4,0,0,0,3,0,10,0,0,0,2,0,0,0,1,2,0,0,3,0,6,0,1,4,0,9,2,0,0,0,0,0,11,4,0,0,0,0,3,0,0,2,6,5,10,7,7,0,4,5,0,13,0,4,0,0,5,8,2,0,0,0,15,0,1,0,7,0,10,0,2,4,0,2,20,0,5,7,0,11,0,6,3,3,2,6,2,7,0,0,0,0,3,0,0,2,0,0,4,0,0,0,3,0,1,2,0,10,11,13,0,0,5,13,0,0,1,0,0,0,1,1,0,10,0,0,4,0,0,0,11,0,0,6,3,0,0,0,1,5,0,0,10,0,8,0,0,15,0,0,2,9,0,0,1,11,3,0,4,0,0,0,14,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,4,2,2,0,0,1,0,1,2,2,18,17,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,3,10,0,5,4,0,3,4,8,17,0,7,12,16,0,4,0,0,1,0,2,0,0,0,0,4,0,0,6,11,0,5,0,1,5,0,4,0,3,0,0,14,10,5,3,7,0,4,7,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,5,5
03/02/2006,0,0,4,0,9,0,3,12,0,0,0,2,0,0,5,5,0,11,0,4,0,1,0,0,4,13,7,2,11,0,3,13,0,1,4,2,7,6,0,3,1,0,10,13,13,0,0,3,1,0,0,6,2,0,4,0,9,0,0,0,0,5,0,6,0,15,0,0,7,4,0,7,5,3,5,0,1,0,4,0,0,0,3,0,10,0,0,0,2,0,0,0,1,2,0,0,3,0,6,0,1,4,0,9,2,0,0,0,0,0,11,4,0,0,0,0,3,0,0,2,6,5,10,7,7,0,4,5,0,13,0,4,0,0,5,8,2,0,0,0,15,0,1,0,7,0,10,0,2,4,0,2,20,0,5,7,0,11,0,6,3,3,2,6,2,7,0,0,0,0,3,0,0,2,0,0,4,0,0,0,3,0,1,3,0,10,11,13,0,0,5,13,0,0,1,0,0,0,1,1,0,10,0,0,4,0,0,0,11,0,0,6,3,0,2,0,1,5,0,0,10,0,8,0,0,15,0,0,2,9,0,0,1,11,3,0,4,0,0,0,14,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,4,2,2,0,0,1,0,1,2,2,18,17,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,3,10,0,5,4,0,3,4,8,17,0,7,12,16,0,4,0,0,1,0,2,0,0,0,0,4,0,0,6,11,0,5,0,1,5,0,4,0,3,0,2,14,10,5,3,7,0,4,7,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,5,5
06/02/2006,0,0,4,0,9,0,3,12,0,0,0,2,0,0,5,5,0,11,0,4,0,1,0,0,4,13,7,2,11,0,3,13,0,1,4,2,7,6,0,3,1,0,10,13,13,0,0,3,1,0,0,6,2,0,5,0,9,0,0,0,0,5,0,6,0,15,0,0,7,4,0,7,5,3,5,0,1,0,4,0,0,0,3,0,10,0,0,0,2,0,0,0,1,2,0,0,3,0,6,0,1,4,0,9,2,0,0,0,0,0,11,4,0,0,0,0,3,0,0,2,6,5,10,7,7,0,4,5,0,13,0,4,0,0,5,7,2,0,0,0,15,0,1,0,7,0,10,0,2,4,0,2,20,0,5,7,0,11,0,6,3,3,2,6,2,7,0,0,0,0,3,0,0,2,0,0,4,0,0,0,3,0,1,2,0,10,11,13,0,0,5,13,0,0,1,0,0,0,1,1,2,10,0,0,4,0,0,0,12,0,0,6,3,0,2,0,1,5,0,0,10,0,9,0,0,15,0,0,2,9,0,0,1,11,3,0,4,0,0,0,14,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,4,2,2,0,0,1,0,1,2,2,19,17,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,3,9,0,5,4,0,3,4,8,17,0,7,12,16,0,4,0,0,1,0,2,0,0,0,0,4,0,0,6,11,0,5,0,1,5,0,4,0,3,0,2,14,10,5,3,7,0,4,7,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,5,5
07/02/2006,0,0,4,0,9,0,3,12,0,0,0,2,0,0,6,5,0,11,0,4,0,1,0,0,4,13,7,2,11,0,3,13,0,1,4,2,7,7,0,3,1,0,10,14,13,1,0,3,1,0,0,6,3,0,5,0,9,0,0,0,0,5,0,6,1,15,0,0,7,4,0,7,5,3,5,0,1,0,5,0,0,0,3,0,10,0,0,0,2,0,0,0,1,3,0,0,3,0,6,0,1,4,0,10,2,0,0,0,0,0,11,4,0,0,0,0,3,0,0,2,6,6,10,7,7,0,4,5,0,13,0,4,0,0,5,7,2,0,0,0,15,0,1,0,7,0,10,0,2,4,0,2,20,0,6,7,0,11,0,6,3,3,2,6,2,7,0,2,0,0,3,0,0,2,0,0,4,0,0,0,3,0,1,2,0,10,11,13,0,0,5,13,0,0,1,0,0,0,1,1,2,10,0,0,4,0,0,0,12,0,0,6,3,0,2,0,1,5,0,0,10,0,9,0,0,15,0,0,2,10,0,0,1,11,3,0,4,0,0,0,14,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,4,2,2,0,0,1,0,1,2,2,19,17,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,3,10,0,5,5,0,3,4,8,17,0,7,12,16,0,4,0,0,1,0,2,0,0,0,0,4,0,1,6,11,0,5,0,1,5,0,4,0,3,0,2,14,10,5,3,7,0,4,7,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,5,5
08/02/2006,0,0,4,0,9,0,3,12,0,0,0,2,0,0,6,5,0,11,0,4,0,1,0,0,4,13,7,2,11,0,3,13,0,1,4,2,7,7,0,3,1,0,10,14,13,1,0,3,1,0,0,7,3,0,5,0,9,0,0,0,0,5,0,6,1,15,0,0,7,4,0,7,5,3,5,0,1,0,5,0,0,0,3,0,10,0,0,0,2,0,0,0,1,3,0,0,3,0,6,0,1,4,0,10,2,0,0,0,0,0,11,4,0,0,0,0,3,0,0,2,6,6,10,7,7,0,4,5,0,13,0,5,0,0,5,7,2,0,0,0,15,0,1,0,7,0,10,0,2,4,0,2,20,0,6,7,0,11,0,6,3,3,2,6,2,7,0,2,0,0,3,0,0,2,0,0,4,0,0,0,3,0,1,2,0,10,11,14,0,0,5,13,0,0,1,0,0,0,1,1,2,10,0,0,4,0,0,0,12,0,0,6,3,0,2,0,1,5,0,0,10,0,9,0,0,15,0,0,2,10,0,0,1,12,3,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,4,2,2,0,0,1,0,1,2,2,19,17,0,8,5,0,0,0,2,0,0,0,0,0,0,4,0,0,3,10,0,5,5,0,3,4,8,17,0,7,12,17,0,4,0,0,1,0,2,0,0,0,0,4,0,1,6,10,0,5,0,1,5,0,4,0,3,0,2,14,10,5,3,7,0,4,7,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,5,5
