Date,NIFTY,BANKNIFTY,3IINFOTECH,ABAN,ABB,ABGSHIP,ABIRLANUVO,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,AIAENG,AIL,AJANTPHARM,ALBK,ALOKTEXT,AMARAJABAT,AMBUJACEM,AMTEKAUTO,ANDHRABANK,ANSALAPI,APOLLOHOSP,APOLLOTYRE,APTECHT,ARVIND,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJHIND,BAJAJHLDNG,BAJFINANCE,BALAJITELE,BALLARPUR,BALRAMCHIN,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BEML,BGRENERGY,BHARATFORG,BHARTIARTL,BHEL,BHUSANSTL,BINDALAGRO,BIOCON,BIRLACORPN,BOMDYEING,BOSCHLTD,BPCL,BRFL,BRIGADE,BRITANNIA,CAIRN,CANBK,CASTROLIND,CEATLTD,CENTRALBK,CENTURYTEX,CESC,CHAMBLFERT,CHENNPETRO,CHOLAFIN,CIPLA,CMC,COALINDIA,COLPAL,CONCOR,COREEDUTEC,CORPBANK,CROMPGREAV,CUMMINSIND,DABUR,DCBBANK,DCHL,DEN,DENABANK,DHANBANK,DHFL,DISHTV,DIVISLAB,DLF,DRREDDY,EDELWEISS,EDUCOMP,EICHERMOT,EKC,ENGINERSIN,ESCORTS,ESSAROIL,EXIDEIND,FEDERALBNK,FINANTECH,FORTIS,FRL,FSL,GAIL,GAYAPROJ,GDL,GESHIP,GITANJALI,GLAXO,GLENMARK,GMRINFRA,GNFC,GODREJIND,GODREJPROP,GPPL,GRASIM,GSKCONS,GSPL,GTL,GTLINFRA,GTOFFSHORE,GUJALKALI,GUJFLUORO,GVKPIL,HAVELLS,HCC,HCL-INSYS,HCLTECH,HDFC,HDFCBANK,HDIL,HEROMOTOCO,HEXAWARE,HGS,HINDALCO,HINDOILEXP,HINDPETRO,HINDUJAFO,HINDUJAVEN,HINDUNILVR,HINDZINC,HOTELEELA,HUBTOWN,IBREALEST,IBULHSGFIN,ICICIBANK,ICSA,IDBI,IDEA,IDFC,IFCI,IGL,IIFL,INDHOTEL,INDIACEM,INDIANB,INDUSINDBK,INFY,INGVYSYABK,IOB,IOC,IRB,ITC,IVRCLAH,IVRCLINFRA,J&KBANK,JETAIRWAYS,JINDALSAW,JINDALSTEL,JISLJALEQS,JPASSOCIAT,JPPOWER,JSL,JSWENERGY,JSWISPAT,JSWSTEEL,JUBLFOOD,JUSTDIAL,KESORAMIND,KFA,KOTAKBANK,KPIT,KSCL,KSK,KSOILS,KTKBANK,L&TFH,LAXMIMACH,LICHSGFIN,LITL,LT,LUPIN,M&M,M&MFIN,MAHLIFE,MAHSEAMLES,MARUTI,MCDOWELL-N,MCLEODRUSS,MERCATOR,MHRIL,MIC,MINDTREE,MONNETISPA,MOSERBAER,MOTHERSUMI,MPHASIS,MRF,MRPL,MTNL,MUTHOOTFIN,MYSOREBANK,NAGARFERT,NATIONALUM,NAUKRI,NBVENTURES,NCC,NDTV,NETWORK18,NEYVELILIG,NHPC,NIITLTD,NIITTECH,NMDC,NOIDATOLL,NTPC,NUCLEUS,OFSS,OIL,OMAXE,ONGC,OPTOCIRCUI,ORBITCORP,ORCHIDCHEM,ORIENTBANK,PAGEIND,PARSVNATH,PATELENG,PATNI,PEL,PENINLAND,PETRONET,PFC,PIDILITIND,PIIND,PNB,POLARIS,POWERGRID,PRAJIND,PRESTIGE,PRISMCEM,PTC,PUNJLLOYD,PURVA,RAJESHEXPO,RANBAXY,RAYMOND,RCOM,RECLTD,REDINGTON,RELCAPITAL,RELIANCE,RELINFRA,RELMEDIA,RENUKA,RIIL,RNRL,ROLTA,RPOWER,RUCHISOYA,SAIL,SASKEN,SATYAMCOMP,SBIN,SCI,SHREECEM,SIEMENS,SINTEX,SITICABLE,SKSMICRO,SKUMARSYNF,SOBHA,SOUTHBANK,SREINFRA,SRF,SRTRANSFIN,STAR,STER,STERLINBIO,STRTECH,SUNCLAYLTD,SUNPHARMA,SUNTV,SUZLON,SYNDIBANK,TALWALKARS,TATACHEM,TATACOMM,TATAGLOBAL,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,THOMASCOOK,TIMKEN,TITAN,TORNTPOWER,TRENT,TRIVENI,TTML,TULIP,TV18BRDCST,TVSMOTOR,UBL,UCOBANK,ULTRACEMCO,UNIONBANK,UNITECH,UPL,UTTAMSTL,UTVSOF,VEDL,VIDEOIND,VIJAYABANK,VOLTAMP,VOLTAS,WALCHANNAG,WELCORP,WIPRO,WOCKPHARMA,YESBANK,ZEEL,CADILAHC,INFRATEL,MARICO,GODREJCP,GRANULES,PCJEWELLER,TATAELXSI,ICIL,TORNTPHARM,CGPOWER,CAPF,EQUITAS,INDIGO,INFIBEAM,MFSL,IDFCBANK,PVR,RDEL,UJJIVAN,DALMIABHA,BHARATFIN,SESAGOA,SSLT
02/01/2006,21.07,,,,,,,29.50869,,,,,,,37.82769,,,45.82138,,46.56663,,,,,52.77338,44.12981,,,,,,,,,,,39.68263,62.14831,,,,,59.3205,35.20319,46.28388,,,,,,,29.09031,,,,,45.02181,,,,35.89669,49.92713,47.69419,,,42.86913,,,36.23413,,,,,,205.36112,,,,,,,,,,51.011,,,,,,,,,49.29931,,,,,37.99881,,,,,,,,,,,,36.21763,,,,,,,,,,,,,,31.86,,40.66669,,,36.37131,,33.35188,,,34.50281,,,,,,31.23631,,43.08719,,37.02863,83.05919,,,,63.1535,,55.88563,31.43381,,45.667,155.8415,,35.82581,,,,,,,,,35.76113,,,,,,,,,,,,,,55.89113,,,49.77013,,,,50.53069,,,,32.57369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.645,,58.87288,,,33.68519,,,,45.9115,,,,,,,,,,,29.34619,,,,,,,,,,42.47769,,,,,49.041,26.47081,39.24219,,,,,,,,,,,33.22069,,,29.3805,,,,,,,,,,,,,,,,,,42.09088,,23.58881,50.94831,31.33738,34.494,,39.8875,32.08769,32.36881,,,,,48.57631,,,,,,,,,,,45.3215,,,,,,,50.4345,,,,,39.94263,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2006,24.09,29.08,,,,,,25.59763,,,,,,,36.97688,,,42.081,,42.80038,,,,,50.32969,41.48181,,38.27919,54.41738,,,,,,,,37.23331,58.97981,,,,,33.55013,31.4365,34.55338,,,,,,,29.58263,,,,,132.50031,,,,40.09463,43.17563,46.835,,,30.25038,,,25.0015,,,,,,43.29363,,,,,,,,28.71431,,35.56288,,,,,,,,,42.1425,,,,,32.0055,,,,,,,,,,,,35.48781,,,,,,,,,,,,31.18838,43.55919,29.53088,,33.66613,,,34.35881,,28.6585,,,32.686,,,,,,25.49969,,38.89631,,35.52769,75.61081,,,,43.00081,,51.5285,32.00313,,32.85688,29.07719,,31.12669,,,,,,31.36913,,,30.54188,,,,,,,,,,,,,,44.09938,,,27.46881,,,,39.60731,,,,31.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.87069,,32.41538,,,26.93913,,,,35.51169,,,,,,,,,,,28.98188,,,,,,,,,,40.17519,,,,,44.85038,24.41681,38.49663,,,,,,,,,,,32.8685,,,13.1735,,,,,,,,,,,,,,,27.30331,,,38.72581,,39.01413,46.55881,24.9425,31.86019,,34.04163,28.66263,28.44888,,,,,59.47519,,,,,,,,,,,41.30838,,,,,,,41.75638,,,,,39.59069,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2006,18.5,29.56,,,,,,34.444,,,,,,,42.86269,,,50.2035,,48.45869,,,,,47.48319,42.48063,,39.42388,53.79138,,,,,,,,49.655,60.41831,,,,,32.8815,35.65888,22.99081,,,,,,,58.32681,,,,,58.53713,,,,35.06088,42.2015,44.08963,,,29.57688,,,29.46919,,,,,,42.74419,,,,,,,,27.85981,,36.38963,,,,,,,,,40.87819,,,,,31.84981,,,,,,,,,,,,35.94313,,,,,,,,,,,,30.26181,42.3655,30.96181,,33.07281,,,34.92631,,25.52813,,,32.67038,,,,,,29.537,,37.68969,,34.51069,76.59931,,,,41.29713,,57.06331,30.22438,,35.593,28.322,,31.67338,,,,,,30.37881,,,33.97738,,,,,,,,,,,,,,39.91281,,,27.69569,,,,36.785,,,,26.96381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.68431,,31.39619,,,30.44513,,,,36.75938,,,,,,,,,,,31.83831,,,,,,,,,,38.51919,,,,,46.28831,24.83969,37.29488,,,,,,,,,,,34.9905,,,77.70369,,,,,,,,,,,,,,,26.45188,,,40.71663,,41.6275,57.7725,24.15519,26.88869,,33.71138,29.25238,24.92138,,,,,45.30819,,,,,,,,,,,46.88513,,,,,,,45.627,,,,,26.21519,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2006,19.26,,,,,,,35.01669,,,,,,,43.85931,,,51.40763,,60.87331,,,,,46.42719,46.57981,,38.01219,53.28013,,,,,,,,41.52288,56.39513,,,,,32.42988,34.39631,33.89513,,,,,,,31.47063,,,,,56.4155,,,,34.25538,40.84619,52.84638,,,29.51219,,,30.72713,,,,,,42.27338,,,,,,,,30.69063,,35.54288,,,,,,,,,44.75013,,,,,28.68619,,,,,,,,,,,,39.07231,,,,,,,,,,,,30.53938,41.057,30.39238,,16.78631,,,31.99131,,38.12219,,,30.19813,,,,,,28.71913,,47.43331,,36.49069,81.21081,,,,53.5565,,56.58338,30.0645,,47.27569,26.53081,,36.0355,,,,,,29.67481,,,34.06388,,,,,,,,,,,,,,52.51338,,,35.13138,,,,31.62181,,,,30.92331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.869,,30.482,,,30.512,,,,43.60338,,,,,,,,,,,43.69069,,,,,,,,,,37.7475,,,,,43.77438,25.97538,35.612,,,,,,,,,,,30.81619,,,53.99063,,,,,,,,,,,,,,,25.96188,,,49.56263,,40.65188,45.16963,23.555,30.94463,,31.35681,30.14919,26.62781,,,,,47.6505,,,,,,,,,,,46.13313,,,,,,,51.526,,,,,33.58063,,,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2006,19.63,28.4,,,,,,31.98813,,,,,,,47.8755,,,46.82731,,63.93181,,,,,55.466,44.06319,,37.17631,53.821,,,,,,,,39.83681,50.34013,,,,,32.14069,34.15381,33.02838,,,,,,,30.87169,,,,,55.33338,,,,36.63213,39.98219,47.30969,,,27.961,,,28.70419,,,,,,44.62081,,,,,,,,29.818,,34.495,,,,,,,,,45.44919,,,,,30.7885,,,,,,,,,,,,34.60113,,,,,,,,,,,,35.0835,40.93881,20.83438,,31.95031,,,30.99838,,27.10981,,,30.13188,,,,,,32.20538,,46.72231,,37.75888,77.803,,,,54.63013,,57.39438,30.82213,,57.03419,28.83863,,34.99763,,,,,,28.7395,,,37.05113,,,,,,,,,,,,,,55.80631,,,30.49313,,,,36.60163,,,,30.39088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.41469,,29.75338,,,26.41338,,,,36.16731,,,,,,,,,,,35.55231,,,,,,,,,,41.11863,,,,,46.79069,27.39788,35.45538,,,,,,,,,,,32.46,,,39.93681,,,,,,,,,,,,,,,25.274,,,55.25088,,37.73613,48.45019,22.95863,33.10838,,33.09169,28.05969,27.86719,,,,,48.34338,,,,,,,,,,,38.05781,,,,,,,51.49369,,,,,29.27588,,,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2006,21.16,28.02,,,,,,32.77419,,,,,,,52.68219,,,49.94863,,65.7435,,,,,57.70738,49.63881,,68.46113,52.44519,,,,,,,,42.39963,50.87838,,,,,31.71838,34.74781,33.21113,,,,,,,29.33281,,,,,54.44888,,,,35.0755,38.79681,52.47531,,,29.717,,,31.37419,,,,,,46.1145,,,,,,,,28.77338,,37.00788,,,,,,,,,44.176,,,,,41.22913,,,,,,,,,,,,33.71981,,,,,,,,,,,,33.87738,39.59231,33.28213,,30.91088,,,36.2135,,32.26519,,,31.54519,,,,,,33.105,,50.96063,,39.15338,82.40319,,,,50.62219,,60.57769,38.92831,,60.19088,25.81019,,38.05981,,,,,,27.95519,,,38.06069,,,,,,,,,,,,,,49.29663,,,32.15281,,,,36.41431,,,,32.52013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.22619,,30.75319,,,28.38831,,,,36.375,,,,,,,,,,,35.02113,,,,,,,26.316,,,40.21831,,,,,46.72413,27.23988,35.39719,,,,,,,,,,,32.1275,,,32.66781,,,,,,,,,,,,,,,24.4395,,,51.47388,,35.83813,49.6575,22.57081,33.98969,,31.73763,33.92119,31.45263,,,,,45.151,,,,,,,,,,,53.57963,,,,,,,57.6865,,,,,40.582,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2006,21.05,27.86,,,,,,36.00931,,,,,,,57.403,,,59.56731,,65.95781,,,,,52.62219,43.78081,,85.92388,51.7425,,,,,,,,45.29669,44.65963,,,,,32.64338,36.40138,31.59563,,,,,,,31.73369,,,,,53.43181,,,,44.87313,36.40163,51.32319,,,33.04738,,,32.61181,,,,,,56.17388,,,,,,,,28.39938,,37.64419,,,,,,,,,41.16013,,,,,38.76488,,,,,,,,,,,,34.11463,,,,,,,,,,,,32.86363,42.33313,35.3865,,32.092,,,35.40538,,25.96081,,,35.11113,,,,,,31.88263,,48.88381,,36.60369,83.65,,,,50.91513,,60.07919,33.56031,,61.62769,26.889,,40.3005,,,,,,27.32281,,,36.44238,,,,,,,,,,,,,,59.7925,,,35.54538,,,,35.13231,,,,33.94738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.28669,,27.90619,,,27.67181,,,,37.44438,,,,,,,,,,,32.53319,,,,,,,47.65263,,,40.66231,,,,,42.78981,27.10381,37.04413,,,,,,,,,,,34.31188,,,37.65263,,,,,,,,,,,,,,,23.608,,,59.66438,,41.36881,51.281,21.905,34.62831,,31.88231,34.363,28.88788,,,,,50.10363,,,,,,,,,,,48.474,,,,,,,50.42931,,,,,35.98919,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2006,21.02,26.99,,,,,,36.96469,,,,,,,56.77738,,,53.83138,,66.81513,,,,,49.8065,43.85269,,78.65738,49.95981,,,,,,,,47.72013,49.6085,,,,,44.1035,38.75769,30.60881,,,,,,,29.99388,,,,,51.604,,,,33.92719,40.9435,51.161,,,26.3075,,,35.57319,,,,,,43.14863,,,,,,,,27.4475,,36.49113,,,,,,,,,39.42981,,,,,44.076,,,,,,,,,,,,34.99288,,,,,,,,,,,,32.47163,41.91569,33.34813,,34.16919,,,35.67413,,31.13938,,,35.36563,,,,,,32.12419,,49.22013,,38.38038,79.77769,,,,57.65181,,59.382,35.34713,,57.33969,25.99181,,37.37013,,,,,,29.07081,,,38.14563,,,,,,,,,,,,,,55.85188,,,38.12413,,,,34.08719,,,,37.32688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.36538,,30.96681,,,29.46288,,,,42.73481,,,,,,,,,,,40.3155,,,,,,,40.39013,,,43.71631,,,,,41.53988,25.645,42.28263,,,,,,,,,,,30.10488,,,36.75538,,,,,,,,,,,,,,,24.18181,,,59.88669,,38.03719,50.94331,21.31219,34.95338,,29.25038,32.40769,32.75231,,,,,57.8715,,,,,,,,,,,44.40281,,,,,,,56.19463,,,,,30.98063,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2006,20.81,26.29,,,,,,34.52538,,,,,,,50.7105,,,54.3825,,60.09519,,,,,46.41281,42.75188,,82.115,48.781,,,,,,,,47.12463,57.6975,,,,,30.27388,37.44688,30.035,,,,,,,30.04131,,,,,41.42781,,,,36.4275,42.96963,48.68819,,,26.17431,,,31.22019,,,,,,41.71981,,,,,,,,26.686,,35.30988,,,,,,,,,39.90313,,,,,41.89588,,,,,,,,,,,,34.14481,,,,,,,,,,,,31.44213,41.14269,31.79113,,31.05331,,,38.832,,35.466,,,32.16263,,,,,,33.04363,,44.22981,,34.77738,80.00469,,,,42.96838,,55.39413,30.05313,,55.91,25.09888,,34.57213,,,,,,28.11788,,,39.65688,,,,,,,,,,,,,,51.76788,,,45.13463,,,,34.9105,,,,31.00238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.39219,,30.84319,,,24.29731,,,,40.45419,,,,,,,,,,,33.20519,,,,,,,40.752,,,37.47138,,,,,42.20038,18.75988,39.71338,,,,,,,,,,,29.46963,,,35.53669,,,,,,,,,,,,,,,23.61788,,,55.63031,,41.52413,48.84319,20.54919,35.07863,,31.15163,30.20969,29.92419,,,,,56.53238,,,,,,,,,,,43.22719,,,,,,,62.13613,,,,,32.84638,,,,,,,,,,,,,,,,,,,,,,,,,,
16/01/2006,19.7,25.47,,,,,,31.366,,,,,,,46.99169,,,48.29831,,53.79269,,,,,44.67819,48.00581,,79.44481,47.30513,,,,,,,,40.31213,60.43931,,,,,37.82288,32.41969,28.91181,,,,,,,29.77931,,,,,46.46869,,,,40.37431,40.9595,47.0395,,,24.40963,,,29.40088,,,,,,39.932,,,,,,,,26.31381,,33.92438,,,,,,,,,41.21219,,,,,39.66838,,,,,,,,,,,,33.3285,,,,,,,,,,,,30.72663,39.53438,34.46569,,30.15763,,,38.42763,,33.45081,,,31.46863,,,,,,30.48,,40.03431,,41.68888,83.62181,,,,46.2485,,53.0655,32.574,,49.351,24.07988,,40.23719,,,,,,28.15438,,,38.40419,,,,,,,,,,,,,,48.96431,,,35.13981,,,,33.47188,,,,30.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.49388,,29.62863,,,28.26669,,,,34.41513,,,,,,,,,,,33.18563,,,,,,,50.2745,,,40.2515,,,,,43.66419,14.84638,36.96563,,,,,,,,,,,31.64713,,,34.10988,,,,,,,,,,,,,,,22.89838,,,57.21813,,35.111,47.16619,17.569,36.21731,,29.66288,34.04719,31.96638,,,,,54.48,,,,,,,,,,,52.41969,,,,,,,55.97913,,,,,38.01613,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2006,20.58,25.07,,,,,,30.98919,,,,,,,45.95213,,,43.18931,,50.64988,,,,,46.01331,41.58481,,76.61238,45.553,,,,,,,,39.17513,45.26338,,,,,42.46931,32.70813,19.12613,,,,,,,29.782,,,,,46.33769,,,,42.47431,42.60963,47.53838,,,26.31569,,,35.1105,,,,,,38.55263,,,,,,,,26.43531,,33.72681,,,,,,,,,39.03038,,,,,31.58063,,,,,,,,,,,,33.886,,,,,,,,,,,,21.57319,38.434,31.55513,,28.28181,,,36.57263,,25.60319,,,28.40463,,,,,,29.65288,,45.63813,,40.03631,87.64419,,,,57.59863,,51.30188,29.3915,,57.35388,21.70963,,35.82,,,,,,29.87481,,,32.73869,,,,,,,,,,,,,,48.48538,,,39.54669,,,,38.20863,,,,28.16569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.95031,,29.86831,,,31.57031,,,,37.25538,,,,,,,,,,,33.41938,,,,,,,35.15338,,,40.111,,,,,45.08131,,38.09419,,,,,,,,,,,29.3415,,,29.662,,,,,,,,,,,,,,,22.27463,,,55.61663,,42.6005,43.33013,25.04813,34.73,,28.8675,34.96619,27.725,,,,,53.7695,,,,,,,,,,,43.37119,,,,,,,61.41469,,,,,42.57713,,,,,,,,,,,,,,,,,,,,,,,,,,
18/01/2006,19.84,24.87,,,,,,32.78881,,,,,,,48.33881,,,48.15888,,52.73681,,,,,46.149,43.684,,73.75888,43.98413,,,,,,,,36.93919,50.08369,,,,,37.07813,34.75581,32.16213,,,,,,,28.303,,,,,47.18981,,,,38.37981,38.82769,46.771,,,29.45763,,,32.33919,,,,,,37.10419,,,,,,,,25.41663,,32.90863,,,,,,,,,43.35231,,,,,30.76481,,,,,,,,,,,,31.1075,,,,,,,,,,,,47.30181,37.1785,30.47813,,40.72388,,,38.50613,,32.03281,,,29.23213,,,,,,33.61181,,50.56381,,39.68888,85.92419,,,,57.46163,,53.04469,31.86513,,50.60131,22.4435,,38.54988,,,,,,28.67188,,,34.21269,,,,,,,,,,,,,,54.73331,,,36.6725,,,,31.3525,,,,28.74731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.68413,,32.54519,,,29.04638,,,,31.13581,,,,,,,,,,,37.666,,,,,,,30.26738,,,42.42963,,,,,50.77619,34.71481,38.84413,,,,,,,,,,,33.49563,,,31.84688,,,,,,,,,,,,,,,21.48038,,,60.80869,,37.7555,43.38319,19.49088,36.56838,,27.6435,36.23081,29.11563,,,,,52.9425,,,,,,,,,,,46.40519,,,,,,,61.041,,,,,38.77619,,,,,,,,,,,,,,,,,,,,,,,,,,
19/01/2006,32.06,26.99,,,,,,34.69588,,,,,,,42.46688,,,40.79,,50.12513,,,,,41.78119,38.92063,,76.76712,46.84419,,,,,,,,39.95781,60.83313,,,,,29.648,38.18163,34.5825,,,,,,,31.18938,,,,,51.04963,,,,29.60738,40.35563,41.18638,,,25.33813,,,32.478,,,,,,,,,,,,,,28.17219,,34.3545,,,,,,,,,39.48638,,,,,30.95281,,,,,,,,,,,,33.06338,,,,,,,,,,,,33.61088,40.99681,33.36069,,29.44919,,,40.49881,,29.52988,,,24.88381,,,,,,31.84081,,46.6205,,37.82913,78.68388,,,,69.05513,,47.40231,28.177,,52.56131,23.42513,,36.67338,,,,,,30.4975,,,29.88869,,,,,,,,,,,,,,37.88488,,,25.67919,,,,32.83069,,,,30.76019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.72431,,30.93088,,,30.40188,,,,32.479,,,,,,,,,,,33.96431,,,,,,,29.789,,,36.33338,,,,,37.69081,28.46688,37.22481,,,,,,,,,,,28.28781,,,35.95488,,,,,,,,,,,,,,,25.88588,,,61.31563,,35.80969,55.28481,21.13488,37.33331,,29.71081,30.78288,27.5215,,,,,55.36219,,,,,,,,,,,50.65281,,,,,,,52.17088,,,,,48.52731,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/2006,21.47,26.41,,,,,,33.725,,,,,,,39.36531,,,39.86531,,48.17688,,,,,47.7815,40.56738,,74.428,48.08181,,,,,,,,36.33981,59.01763,,,,,29.33869,37.08813,37.03169,,,,,,,32.2895,,,,,49.81388,,,,29.88881,39.20419,36.29763,,,24.56988,,,32.78331,,,,,,39.00838,,,,,,,,27.31069,,33.29381,,,,,,,,,32.60013,,,,,33.125,,,,,,,,,,,,32.09263,,,,,,,,,,,,35.17863,47.88131,32.498,,28.77969,,,45.545,,28.57069,,,24.532,,,,,,31.56513,,47.02581,,37.31388,69.69238,,,,66.754,,42.77219,29.32138,,51.22763,23.2595,,45.71569,,,,,,29.83681,,,33.14163,,,,,,,,,,,,,,49.55863,,,24.97531,,,,32.84931,,,,169.31263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.39713,,30.03263,,,40.83988,,,,31.88263,,,,,,,,,,,32.89413,,,,,,,29.53588,,,35.64513,,,,,39.6855,22.97481,36.41513,,,,,,,,,,,30.49513,,,,,,,,,,,,,,,,,,22.24531,,,49.29088,,34.95181,53.7115,20.56563,38.89913,,28.8645,32.17281,26.74413,,,,,53.76788,,,,,,,,,,,49.66231,,,,,,,50.69088,,,,,47.14269,,,,,,,,,,,,,,,,,,,,,,,,,,
23/01/2006,20.38,25.73,,,,,,32.7715,,,,,,,42.802,,,48.28181,,48.419,,,,,56.59888,41.24388,,72.16769,59.93088,,,,,,,,40.30269,56.97738,,,,,29.18338,35.95281,36.473,,,,,,,31.70538,,,,,51.47088,,,,33.38538,38.37669,46.38381,,,23.84531,,,32.05219,,,,,,38.26063,,,,,,,,26.839,,32.27331,,,,,,,,,42.42213,,,,,31.59763,,,,,,,,,,,,31.348,,,,,,,,,,,,37.2245,48.7595,31.68863,,28.76763,,,32.281,,30.73469,,,24.05031,,,,,,33.73563,,44.7625,,39.00931,80.446,,,,65.20931,,52.31838,33.50438,,51.04938,26.32563,,38.91588,,,,,,29.22813,,,33.89569,,,,,,,,,,,,,,50.10388,,,24.19263,,,,32.25481,,,,130.2385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.24013,,29.7635,,,33.06331,,,,31.00563,,,,,,,,,,,32.14781,,,,,,,29.40788,,,35.71113,,,,,45.57513,24.94731,35.45013,,,,,,,,,,,31.10138,,,59.78581,,,,,,,,,,,,,,,21.73988,,,47.92188,,37.31981,52.68213,20.08519,39.46213,,28.01819,34.20831,26.68569,,,,,54.65269,,,,,,,,,,,48.3285,,,,,,,49.42913,,,,,46.036,,,,,,,,,,,,,,,,,,,,,,,,,,
24/01/2006,15.9,24.97,,,,,,30.35363,,,,,,,40.88663,,,50.075,,54.27713,,,,,53.44919,45.40588,,70.0845,71.14013,,,,,,,,37.0545,54.95713,,,,,29.433,35.16138,36.85663,,,,,,,30.81213,,,,,50.23081,,,,40.93631,37.699,46.846,,,24.36163,,,31.05231,,,,,,37.00181,,,,,,,,25.98188,,31.68169,,,,,,,,,45.7985,,,,,30.414,,,,,,,,,,,,30.37969,,,,,,,,,,,,35.76963,48.24838,30.79081,,27.89881,,,43.86938,,28.95938,,,29.15788,,,,,,29.20863,,53.28731,,36.09169,75.26019,,,,64.16563,,48.80581,26.82938,,50.32088,25.53681,,35.5785,,,,,,28.46569,,,30.98638,,,,,,,,,,,,,,48.83438,,,23.617,,,,31.34181,,,,27.0685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.48563,,28.94213,,,32.07688,,,,32.53031,,,,,,,,,,,31.92781,,,,,,,35.4325,,,36.17788,,,,,39.70581,28.24038,34.35713,,,,,,,,,,,32.52719,,,58.09038,,,,,,,,,,,,,,,22.19169,,,56.16713,,34.053,51.27338,20.12888,40.51931,,27.10363,29.231,26.54563,,,,,53.12881,,,,,,,,,,,47.75188,,,,,,,44.35569,,,,,44.86563,,,,,,,,,,,,,,,,,,,,,,,,,,
25/01/2006,4.85,,,,,,,30.73531,,,,,,,41.52681,,,47.65413,,57.95131,,,,,54.59869,40.75819,,68.07169,71.08881,,,,,,,,41.699,59.33038,,,,,28.62163,35.8415,37.297,,,,,,,31.53938,,,,,50.815,,,,44.24063,37.5725,41.489,,,24.16313,,,91.31019,,,,,,36.6855,,,,,,,,25.27531,,36.40613,,,,,,,,,47.75363,,,,,30.11581,,,,,,,,,,,,29.98138,,,,,,,,,,,,36.83463,49.52413,29.51081,,30.281,,,38.4885,,32.44181,,,29.56319,,,,,,35.64488,,44.89738,,38.43388,72.22638,,,,63.249,,57.34788,27.79488,,49.1905,24.97038,,28.74213,,,,,,32.69631,,,40.76931,,,,,,,,,,,,,,51.20813,,,23.14031,,,,30.83663,,,,44.57969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47438,,28.51569,,,16.952,,,,39.87631,,,,,,,,,,,32.67169,,,,,,,38.57719,,,31.31888,,,,,39.03038,29.20869,32.67238,,,,,,,,,,,33.62838,,,56.36788,,,,,,,,,,,,,,,22.017,,,48.0125,,36.25938,51.83913,20.58131,32.90769,,27.07363,29.40213,25.93638,,,,,39.22363,,,,,,,,,,,50.58738,,,,,,,48.79538,,,,,45.56069,,,,,,,,,,,,,,,,,,,,,,,,,,
